t,x,v,a,id,lane,oldLane,pos,event,Vehicle
0,0,0,0,0,0,-1,1700,lane info,No vehicle yet
0,0,0,0,0,1,-1,300,lane info,No vehicle yet
0,0,0,0,0,2,-1,1000,lane info,No vehicle yet
0,0,0,0,0,3,-1,1700,lane info,No vehicle yet
0,0,0,0,0,4,-1,300,lane info,No vehicle yet
0,0,0,0,0,5,-1,1000,lane info,No vehicle yet
0,0,0,0,0,6,-1,1700,lane info,No vehicle yet
0,0,0,0,0,7,-1,300,lane info,No vehicle yet
2.676148785699183,0,33.333333333333336,0,0,-1,-1,0,start,car
2.676148785699183,0,33.333333333333336,0,0,0,-1,0,enter lane,car
3,10.8,33.33336657580209,0.00020529469883574005,0,0,-1,10.8,timer,car
3,10.8,33.33336657580209,0.00020529469883574005,0,0,-1,10.8,change slow,car
3,10.8,33.33336657580209,0.00020529469883574005,0,6,0,10.8,enter lane 6,car
4,44.63,34.33336657580209,1,0,6,0,44.63,timer,car
5,79.46,35.33336657580209,1,0,6,0,79.46,timer,car
5.919902468158022,0,33.333333333333336,0,1,-1,-1,0,start,car
5.919902468158022,0,33.333333333333336,0,1,0,-1,0,enter lane,car
6,115.3,36.33336657580209,1.0,0,6,0,115.3,leave lane 0,car
6,115.3,36.33336657580209,0,0,6,-1,115.3,done change slow,car
6,115.3,36.33336657580209,0,0,6,-1,115.3,timer,car
6,2.67,33.33333588689497,6.376130635080905e-05,1,0,-1,2.67,timer,car
7,151.63,36.332024134952405,-0.002684881699368279,0,6,-1,151.63,timer,car
7,36.0,33.33379767111716,0.0008598071380326379,1,0,-1,36.0,timer,car
8,187.96,36.327996812403356,-0.005369763398736558,0,6,-1,187.96,timer,car
8,69.33,33.335055501171034,0.001655852969714467,1,0,-1,69.33,timer,car
9,224.28,36.32128460815493,-0.008054645098104838,0,6,-1,224.28,timer,car
9,102.67,33.337109377056585,0.0024518988013962958,1,0,-1,102.67,timer,car
9.162019855111373,0,33.333333333333336,0,2,-1,-1,0,start,HGV
9.162019855111373,0,33.333333333333336,0,2,0,-1,0,enter lane,HGV
10,260.6,36.311887522207144,-0.010739526797473116,0,6,-1,260.6,timer,car
10,136.01,33.33995929877382,0.0032479446330781247,1,0,-1,136.01,timer,car
10,27.93,33.33362468412386,0.0006953644243310712,2,0,-1,27.93,timer,HGV
10,27.93,33.33362468412386,0.0006953644243310712,2,0,-1,27.93,change slow,HGV
10,27.93,33.33362468412386,0.0006953644243310712,2,6,0,27.93,enter lane 6,HGV
11,296.91,36.29980555455999,-0.013424408496841395,0,6,-1,296.91,timer,car
11,169.35,33.34360526632274,0.0040439904647599535,1,0,-1,169.35,timer,car
11,61.76,34.33362468412386,1,2,6,0,61.76,timer,HGV
12,333.2,36.285038705213466,-0.016109290196209675,0,6,-1,333.2,timer,car
12,202.7,33.34804727970334,0.004840036296441782,1,0,-1,202.7,timer,car
12,96.59,35.33362468412386,1,2,6,0,96.59,timer,HGV
12.664969921962488,0,33.333333333333336,0,3,-1,-1,0,start,HGV
12.664969921962488,0,33.333333333333336,0,3,0,-1,0,enter lane,HGV
13,132.43,36.33362468412386,1.0,2,6,0,132.43,leave lane 0,HGV
13,132.43,36.33362468412386,0,2,6,-1,132.43,done change slow,HGV
13,369.48,36.26758697416757,-0.018794171895577954,0,6,-1,369.48,timer,car
13,236.05,33.35328533891562,0.005636082128123611,1,0,-1,236.05,timer,car
13,132.43,36.33362468412386,0,2,6,-1,132.43,timer,HGV
13,11.17,33.333379499155114,0.0002755921023525632,3,0,-1,11.17,timer,HGV
14,405.74,36.24745036142231,-0.021479053594946233,0,6,-1,405.74,timer,car
14,269.41,33.35931944395958,0.00643212795980544,1,0,-1,269.41,timer,car
14,168.76,36.3313656457691,-0.004518076709534456,2,6,-1,168.76,timer,HGV
14,44.5,33.33406638582536,0.0010981812381307128,3,0,-1,44.5,timer,HGV
15,441.98,36.22462886697768,-0.02416393529431451,0,6,-1,441.98,timer,car
15,302.77,33.36614959483522,0.007228173791487269,1,0,-1,302.77,timer,car
15,205.09,36.324588530704794,-0.009036153419068911,2,6,-1,205.09,timer,HGV
15,77.83,33.335575861631376,0.0019207703739088625,3,0,-1,77.83,timer,HGV
15.224808255569043,0,33.333333333333336,0,4,-1,-1,0,start,car
15.224808255569043,0,33.333333333333336,0,4,0,-1,0,enter lane,car
16,478.19,36.19912249083369,-0.02684881699368279,0,6,-1,478.19,timer,car
16,336.14,33.373742295296,0.007793288692165105,1,0,-1,336.14,timer,car
16,241.41,36.31329333893096,-0.013554230128603368,2,6,-1,241.41,timer,HGV
16,111.16,33.33790792657318,0.002743359509687012,3,0,-1,111.16,timer,HGV
16,25.84,33.33383044497308,0.0012825514289033638,4,0,-1,25.84,timer,car
16,25.84,33.33383044497308,0.0012825514289033638,4,0,-1,25.84,change slow,car
16,25.84,33.33383044497308,0.0012825514289033638,4,6,0,25.84,enter lane 6,car
17,514.38,36.17093123299032,-0.02953369869305107,0,6,-1,514.38,timer,car
17,369.52,33.38153558398816,0.007793288692165105,1,0,-1,369.52,timer,car
17,277.72,36.29748007044759,-0.018072306838137823,2,6,-1,277.72,timer,HGV
17,144.5,33.34106258065076,0.0035659486454651616,3,0,-1,144.5,timer,HGV
17,59.67,34.33383044497308,1,4,6,0,59.67,timer,car
17.857652388099964,0,33.333333333333336,0,5,-1,-1,0,start,HGV
17.857652388099964,0,33.333333333333336,0,5,0,-1,0,enter lane,HGV
18,550.53,36.14006368506902,-0.03200378985646989,0,6,-1,550.53,timer,car
18,402.9,33.38932887268032,0.007793288692165105,1,0,-1,402.9,timer,car
18,314.01,36.27714872525469,-0.022590383547672278,2,6,-1,314.01,timer,HGV
18,177.85,33.345039823864106,0.004388537781243311,3,0,-1,177.85,timer,HGV
18,94.5,35.33383044497308,1.0,4,6,0,94.5,timer,car
18,4.74,33.333348868792285,0.00021827495018566427,5,0,-1,4.74,timer,HGV
19,130.33,36.33383044497308,1.0,4,6,0,130.33,leave lane 0,car
19,130.33,36.33383044497308,0,4,6,-1,130.33,done change slow,car
19,586.65,36.108059895212556,-0.03200378985646989,0,6,-1,586.65,timer,car
19,436.29,33.39712216137249,0.007793288692165105,1,0,-1,436.29,timer,car
19,350.28,36.25229930335225,-0.027108460257206732,2,6,-1,350.28,timer,HGV
19,211.2,33.34983965621324,0.0052111269170214605,3,0,-1,211.2,timer,HGV
19,130.33,36.33383044497308,0,4,6,-1,130.33,timer,car
19,38.07,33.334333840658815,0.0017516687828756654,5,0,-1,38.07,timer,HGV
20,622.74,36.07605610535609,-0.03200378985646989,0,6,-1,622.74,timer,car
20,469.69,33.40491545006465,0.007793288692165105,1,0,-1,469.69,timer,car
20,386.52,36.22293180474028,-0.03162653696674119,2,6,-1,386.52,timer,HGV
20,244.55,33.35546207769815,0.00603371605279961,3,0,-1,244.55,timer,HGV
20,166.66,36.331591458014564,-0.004477973917033214,4,6,-1,166.66,timer,car
20,71.41,33.33685220635803,0.003285062615565666,5,0,-1,71.41,timer,HGV
20.34806889717652,0,33.333333333333336,0,6,-1,-1,0,start,electric car
20.34806889717652,0,33.333333333333336,0,6,0,-1,0,enter lane,electric car
21,658.8,36.04405231549962,-0.03200378985646989,0,6,-1,658.8,timer,car
21,503.1,33.41270873875681,0.007793288692165105,1,0,-1,503.1,timer,car
21,422.73,36.18904622941877,-0.036144613676275646,2,6,-1,422.73,timer,HGV
21,277.91,33.36190708831884,0.00685630518857776,3,0,-1,277.91,timer,HGV
21,202.99,36.324874497139014,-0.008955947834066428,4,6,-1,202.99,timer,car
21,104.75,33.34090396588994,0.0048184564482556674,5,0,-1,104.75,timer,HGV
21,21.73,33.333457554176846,0.00038108580178140096,6,0,-1,21.73,timer,electric car
22,694.83,36.01204852564315,-0.03200378985646989,0,6,-1,694.83,timer,car
22,536.52,33.420502027448975,0.007793288692165105,1,0,-1,536.52,timer,car
22,458.9,36.15087390291526,-0.03921690583875907,2,6,-1,458.9,timer,HGV
22,311.28,33.369174688075304,0.00767889432435591,3,0,-1,311.28,timer,HGV
22,239.31,36.31367956234643,-0.013433921751099642,4,6,-1,239.31,timer,car
22,138.09,33.34648911925454,0.006351850280945669,5,0,-1,138.09,timer,HGV
22,55.06,33.33413091457646,0.0009656349974417071,6,0,-1,55.06,timer,electric car
22.97246351705543,0,33.333333333333336,0,7,-1,-1,0,start,HGV
22.97246351705543,0,33.333333333333336,0,7,0,-1,0,enter lane,HGV
23,730.83,35.980044735786684,-0.03200378985646989,0,6,-1,730.83,timer,car
23,569.94,33.42829531614114,0.007793288692165105,1,0,-1,569.94,timer,car
23,495.03,36.1116569970765,-0.03921690583875907,2,6,-1,495.03,timer,HGV
23,344.66,33.37713356747958,0.008036695856552523,3,0,-1,344.66,timer,HGV
23,275.62,36.29800665363681,-0.017911895668132855,4,6,-1,275.62,timer,car
23,171.44,33.353607666451836,0.00788524411363567,5,0,-1,171.44,timer,HGV
23,88.4,33.33538882417174,0.0015501841931020131,6,0,-1,88.4,timer,electric car
23,0.92,33.33333334663427,9.66059042449402e-07,7,0,-1,0.92,timer,HGV
23,0.92,33.33333334663427,9.66059042449402e-07,7,0,-1,0.92,change slow,HGV
23,0.92,33.33333334663427,9.66059042449402e-07,7,6,0,0.92,enter lane 6,HGV
24,766.79,35.94804094593022,-0.03200378985646989,0,6,-1,766.79,timer,car
24,603.37,33.4360886048333,0.007793288692165105,1,0,-1,603.37,timer,car
24,531.12,36.072440091237745,-0.03921690583875907,2,6,-1,531.12,timer,HGV
24,378.04,33.385170263336136,0.008036695856552523,3,0,-1,378.04,timer,HGV
24,311.91,36.27785577101016,-0.022389869585166068,4,6,-1,311.91,timer,car
24,204.8,33.36225960748182,0.009418637946325671,5,0,-1,204.8,timer,HGV
24,121.74,33.33723128296267,0.0021347333887623194,6,0,-1,121.74,timer,electric car
24,34.75,34.33333334663427,1,7,6,0,34.75,timer,HGV
25,802.72,35.91603715607375,-0.03200378985646989,0,6,-1,802.72,timer,car
25,636.81,33.443881893525464,0.007793288692165105,1,0,-1,636.81,timer,car
25,567.17,36.03322318539899,-0.03921690583875907,2,6,-1,567.17,timer,HGV
25,411.43,33.39320695919269,0.008036695856552523,3,0,-1,411.43,timer,HGV
25,348.18,36.253226914466474,-0.02686784350219928,4,6,-1,348.18,timer,car
25,238.17,33.37244494234449,0.010952031779015672,5,0,-1,238.17,timer,HGV
25,155.08,33.33965829094927,0.0027192825844226257,6,0,-1,155.08,timer,electric car
25,69.58,35.33333334663427,1,7,6,0,69.58,timer,HGV
26,105.41,36.33333334663427,1,7,6,0,105.41,leave lane 0,HGV
26,105.41,36.33333334663427,0,7,6,-1,105.41,done change slow,HGV
26,838.62,35.88403336621728,-0.03200378985646989,0,6,-1,838.62,timer,car
26,670.26,33.45167518221763,0.007793288692165105,1,0,-1,670.26,timer,car
26,603.18,35.99400627956023,-0.03921690583875907,2,6,-1,603.18,timer,HGV
26,444.83,33.40124365504924,0.008036695856552523,3,0,-1,444.83,timer,HGV
26,384.42,36.224120084005754,-0.031345817419232494,4,6,-1,384.42,timer,car
26,271.55,33.38416367103984,0.012485425611705674,5,0,-1,271.55,timer,HGV
26,188.42,33.34266984813152,0.003303831780082932,6,0,-1,188.42,timer,electric car
26,105.41,36.33333334663427,0,7,6,-1,105.41,timer,HGV
26.285989699680687,0,33.333333333333336,0,8,-1,-1,0,start,HGV
26.285989699680687,0,33.333333333333336,0,8,0,-1,0,enter lane,HGV
27,874.49,35.85202957636081,-0.03200378985646989,0,6,-1,874.49,timer,car
27,703.72,33.4594684709098,0.007793288692165105,1,0,-1,703.72,timer,car
27,639.15,35.954789373721475,-0.03921690583875907,2,6,-1,639.15,timer,HGV
27,478.23,33.409280350905796,0.008036695856552523,3,0,-1,478.23,timer,HGV
27,420.63,36.19053527962801,-0.03582379133626571,4,6,-1,420.63,timer,car
27,304.94,33.39666078587923,0.012497159736423508,5,0,-1,304.94,timer,HGV
27,221.77,33.346265954509434,0.0038883809757432383,6,0,-1,221.77,timer,electric car
27,141.74,36.33176361852793,-0.003139456212677746,7,6,-1,141.74,timer,HGV
27,23.8,33.333432708018236,0.0002783564462758664,8,0,-1,23.8,timer,HGV
28,910.33,35.820025786504345,-0.03200378985646989,0,6,-1,910.33,timer,car
28,737.18,33.46726175960196,0.007793288692165105,1,0,-1,737.18,timer,car
28,675.09,35.91557246788272,-0.03921690583875907,2,6,-1,675.09,timer,HGV
28,511.64,33.41731704676235,0.008036695856552523,3,0,-1,511.64,timer,HGV
28,456.8,36.15247250133323,-0.04030176525329893,4,6,-1,456.8,timer,car
28,338.34,33.409157945615654,0.012497159736423508,5,0,-1,338.34,timer,HGV
28,255.12,33.35044661008301,0.004472930171403544,6,0,-1,255.12,timer,electric car
28,178.07,36.32705443420891,-0.006278912425355492,7,6,-1,178.07,timer,HGV
28,57.13,33.33390598913587,0.0006682057889973686,8,0,-1,57.13,timer,HGV
28.743150537911895,0,33.333333333333336,0,9,-1,-1,0,start,HGV
28.743150537911895,0,33.333333333333336,0,9,0,-1,0,enter lane,HGV
29,946.13,35.78802199664788,-0.03200378985646989,0,6,-1,946.13,timer,car
29,770.65,33.475055048294124,0.007793288692165105,1,0,-1,770.65,timer,car
29,710.99,35.87635556204396,-0.03921690583875907,2,6,-1,710.99,timer,HGV
29,545.07,33.4253537426189,0.008036695856552523,3,0,-1,545.07,timer,HGV
29,492.93,36.11065919598424,-0.0422272940376232,4,6,-1,492.93,timer,car
29,371.75,33.42165510535208,0.012497159736423508,5,0,-1,371.75,timer,HGV
29,288.48,33.35521181485225,0.005057479367063851,6,0,-1,288.48,timer,electric car
29,214.39,36.31920579367721,-0.009418368638033239,7,6,-1,214.39,timer,HGV
29,90.46,33.33476911959624,0.0010580551317188709,8,0,-1,90.46,timer,HGV
29,8.56,33.333365905702465,0.00025363003577171347,9,0,-1,8.56,timer,HGV
30,981.9,35.75601820679141,-0.03200378985646989,0,6,-1,981.9,timer,car
30,804.13,33.48284833698629,0.007793288692165105,1,0,-1,804.13,timer,car
30,746.85,35.837138656205205,-0.03921690583875907,2,6,-1,746.85,timer,HGV
30,578.5,33.433390438475456,0.008036695856552523,3,0,-1,578.5,timer,HGV
30,529.02,36.06843190194662,-0.0422272940376232,4,6,-1,529.02,timer,car
30,405.18,33.43415226508851,0.012497159736423508,5,0,-1,405.18,timer,HGV
30,321.84,33.36056156881714,0.005642028562724157,6,0,-1,321.84,timer,electric car
30,250.7,36.30821769693284,-0.012557824850710985,7,6,-1,250.7,timer,HGV
30,123.8,33.33602209939932,0.0014479044744403731,8,0,-1,123.8,timer,HGV
30,41.89,33.33411326859193,0.0012410957431544774,9,0,-1,41.89,timer,HGV
31,1017.64,35.72401441693494,-0.03200378985646989,0,6,-1,1017.64,timer,car
31,837.62,33.49064162567845,0.007793288692165105,1,0,-1,837.62,timer,car
31,782.67,35.79792175036645,-0.03921690583875907,2,6,-1,782.67,timer,HGV
31,611.94,33.44142713433201,0.008036695856552523,3,0,-1,611.94,timer,HGV
31,565.07,36.026204607908994,-0.0422272940376232,4,6,-1,565.07,timer,car
31,438.62,33.44664942482493,0.012497159736423508,5,0,-1,438.62,timer,HGV
31,355.21,33.3664934018693,0.006172839506172833,6,0,-1,355.21,timer,electric car
31,287.0,36.294090143975794,-0.015697281063388732,7,6,-1,287.0,timer,HGV
31,157.14,33.337664928545124,0.0018377538171618754,8,0,-1,157.14,timer,HGV
31,75.22,33.33584809718877,0.0022285614505372416,9,0,-1,75.22,timer,HGV
31,75.22,33.33584809718877,0.0022285614505372416,9,0,-1,75.22,change slow,HGV
31,75.22,33.33584809718877,0.0022285614505372416,9,6,0,75.22,enter lane 6,HGV
31.78326350070214,0,33.333333333333336,0,10,-1,-1,0,start,HGV
31.78326350070214,0,33.333333333333336,0,10,0,-1,0,enter lane,HGV
32,1053.35,35.692010627078474,-0.03200378985646989,0,6,-1,1053.35,timer,car
32,871.11,33.49843491437062,0.007793288692165105,1,0,-1,871.11,timer,car
32,818.45,35.75870484452769,-0.03921690583875907,2,6,-1,818.45,timer,HGV
32,645.39,33.44946383018856,0.008036695856552523,3,0,-1,645.39,timer,HGV
